(country(USA))(house_owner(Y))(buy(413)) --> (buy(148)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(163)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(210)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(356)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(496)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(688)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(1281)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(1295)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(413)) --> (buy(1334)), {C=0.0005497526113249038, S=0.00048633401420095323}
