(buy(535)) --> (buy(36)), {C=0.1044776119402985, S=0.0006808676198813345}
(buy(535)) --> (buy(265)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(279)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(369)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(384)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(485)), {C=0.11940298507462688, S=0.0007781344227215252}
(buy(535)) --> (buy(504)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(522)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(764)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(1124)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(1251)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(1394)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(1416)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(535)) --> (buy(1550)), {C=0.0746268656716418, S=0.00048633401420095323}
