(buy(923)) --> (buy(68)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(413)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(536)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(574)), {C=0.11538461538461538, S=0.0005836008170411438}
(buy(923)) --> (buy(673)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(873)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(909)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(1201)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(1422)), {C=0.1346153846153846, S=0.0006808676198813345}
(buy(923)) --> (buy(1445)), {C=0.09615384615384616, S=0.00048633401420095323}
(buy(923)) --> (buy(1501)), {C=0.11538461538461538, S=0.0005836008170411438}
