(buy(1087)) --> (buy(78)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(279)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(384)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(838)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(914)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(937)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(1087)) --> (buy(987)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(1130)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(1247)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(1433)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(1087)) --> (buy(1434)), {C=0.08333333333333334, S=0.00048633401420095323}
