(buy(610)) --> (buy(34)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(216)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(256)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(371)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(378)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(622)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(610)) --> (buy(659)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(799)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(859)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(876)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(1398)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(610)) --> (buy(1548)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(610)) --> (buy(1554)), {C=0.10909090909090909, S=0.0005836008170411438}
