(buy(644)) --> (buy(187)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(258)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(278)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(332)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(644)) --> (buy(404)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(644)) --> (buy(460)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(521)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(661)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(821)), {C=0.11475409836065573, S=0.0006808676198813345}
(buy(644)) --> (buy(872)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(877)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(1150)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(1154)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(644)) --> (buy(1197)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(644)) --> (buy(1320)), {C=0.11475409836065573, S=0.0006808676198813345}
(buy(644)) --> (buy(1486)), {C=0.0819672131147541, S=0.00048633401420095323}
