(buy(1134)) --> (buy(129)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(313)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(329)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(396)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(477)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(526)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(658)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(718)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(751)), {C=0.08823529411764705, S=0.0005836008170411438}
(buy(1134)) --> (buy(785)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(901)), {C=0.07352941176470588, S=0.00048633401420095323}
(buy(1134)) --> (buy(1028)), {C=0.08823529411764705, S=0.0005836008170411438}
(buy(1134)) --> (buy(1217)), {C=0.11764705882352942, S=0.0007781344227215252}
(buy(1134)) --> (buy(1499)), {C=0.08823529411764705, S=0.0005836008170411438}
