(buy(988)) --> (buy(144)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(406)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(416)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(422)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(501)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(539)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(595)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(605)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(718)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(854)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(906)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(982)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1188)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1198)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(1275)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1297)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1336)), {C=0.10909090909090909, S=0.0005836008170411438}
(buy(988)) --> (buy(1392)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1419)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1465)), {C=0.09090909090909091, S=0.00048633401420095323}
(buy(988)) --> (buy(1510)), {C=0.12727272727272726, S=0.0006808676198813345}
(buy(988)) --> (buy(1520)), {C=0.09090909090909091, S=0.00048633401420095323}
