(buy(227)) --> (buy(36)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(100)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(337)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(455)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(460)), {C=0.10169491525423728, S=0.0005836008170411438}
(buy(227)) --> (buy(626)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(682)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(737)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(837)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(902)), {C=0.10169491525423728, S=0.0005836008170411438}
(buy(227)) --> (buy(1036)), {C=0.10169491525423728, S=0.0005836008170411438}
(buy(227)) --> (buy(1103)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(1109)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(1159)), {C=0.0847457627118644, S=0.00048633401420095323}
(buy(227)) --> (buy(1542)), {C=0.10169491525423728, S=0.0005836008170411438}
