(buy(1386)) --> (buy(11)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(110)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(367)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(394)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(504)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(556)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(660)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(1386)) --> (buy(1176)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1386)) --> (buy(1230)), {C=0.09433962264150944, S=0.00048633401420095323}
