(buy(712)) --> (buy(30)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(70)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(176)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(302)), {C=0.10769230769230768, S=0.0006808676198813345}
(buy(712)) --> (buy(362)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(479)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(712)) --> (buy(595)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(712)) --> (buy(613)), {C=0.10769230769230768, S=0.0006808676198813345}
(buy(712)) --> (buy(830)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(924)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(712)) --> (buy(962)), {C=0.0923076923076923, S=0.0005836008170411438}
(buy(712)) --> (buy(1195)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(712)) --> (buy(1387)), {C=0.07692307692307693, S=0.00048633401420095323}
(buy(712)) --> (buy(1538)), {C=0.07692307692307693, S=0.00048633401420095323}
