(buy(1390)) --> (buy(136)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(285)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(358)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(414)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(1390)) --> (buy(482)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(1390)) --> (buy(504)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1034)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1124)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1224)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(1390)) --> (buy(1280)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1311)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1313)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1357)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(1390)) --> (buy(1546)), {C=0.11475409836065573, S=0.0006808676198813345}
