(buy(180)) --> (buy(163)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(347)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(413)), {C=0.1111111111111111, S=0.0006808676198813345}
(buy(180)) --> (buy(445)), {C=0.1111111111111111, S=0.0006808676198813345}
(buy(180)) --> (buy(446)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(483)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(569)), {C=0.09523809523809523, S=0.0005836008170411438}
(buy(180)) --> (buy(573)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(856)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(879)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(896)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(1077)), {C=0.07936507936507937, S=0.00048633401420095323}
(buy(180)) --> (buy(1515)), {C=0.07936507936507937, S=0.00048633401420095323}
