(buy(971)) --> (buy(84)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(312)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(349)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(362)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(445)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(505)), {C=0.10606060606060605, S=0.0006808676198813345}
(buy(971)) --> (buy(638)), {C=0.10606060606060605, S=0.0006808676198813345}
(buy(971)) --> (buy(639)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(711)), {C=0.0909090909090909, S=0.0005836008170411438}
(buy(971)) --> (buy(738)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(968)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(1387)), {C=0.07575757575757576, S=0.00048633401420095323}
(buy(971)) --> (buy(1427)), {C=0.0909090909090909, S=0.0005836008170411438}
(buy(971)) --> (buy(1437)), {C=0.0909090909090909, S=0.0005836008170411438}
(buy(971)) --> (buy(1510)), {C=0.0909090909090909, S=0.0005836008170411438}
