(buy(416)) --> (buy(98)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(149)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(217)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(343)), {C=0.11290322580645161, S=0.0006808676198813345}
(buy(416)) --> (buy(383)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(406)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(428)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(483)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(516)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(522)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(529)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(572)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(626)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(627)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(643)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(649)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(676)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(832)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(842)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(855)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(859)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(882)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(988)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(1059)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(1175)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(1197)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(1231)), {C=0.0967741935483871, S=0.0005836008170411438}
(buy(416)) --> (buy(1335)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(1434)), {C=0.08064516129032259, S=0.00048633401420095323}
(buy(416)) --> (buy(1487)), {C=0.08064516129032259, S=0.00048633401420095323}
