(buy(493)) --> (buy(39)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(43)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(493)) --> (buy(434)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(476)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(493)) --> (buy(533)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(594)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(493)) --> (buy(595)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(643)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(676)), {C=0.11666666666666665, S=0.0006808676198813345}
(buy(493)) --> (buy(748)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(797)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(821)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(493)) --> (buy(931)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(938)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1296)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1308)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1368)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(493)) --> (buy(1435)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1501)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1536)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(493)) --> (buy(1558)), {C=0.09999999999999999, S=0.0005836008170411438}
