(buy(1202)) --> (buy(71)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(76)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(120)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(819)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(1058)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(1152)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(1225)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(1401)), {C=0.1020408163265306, S=0.00048633401420095323}
(buy(1202)) --> (buy(1423)), {C=0.1020408163265306, S=0.00048633401420095323}
