(buy(1317)) --> (buy(245)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(477)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(563)), {C=0.125, S=0.0006808676198813345}
(buy(1317)) --> (buy(658)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(729)), {C=0.10714285714285714, S=0.0005836008170411438}
(buy(1317)) --> (buy(745)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(786)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(826)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(847)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(863)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1017)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1034)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1316)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1350)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1366)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1317)) --> (buy(1417)), {C=0.0892857142857143, S=0.00048633401420095323}
