(buy(1410)) --> (buy(19)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(35)), {C=0.09374999999999999, S=0.0005836008170411438}
(buy(1410)) --> (buy(135)), {C=0.09374999999999999, S=0.0005836008170411438}
(buy(1410)) --> (buy(168)), {C=0.10937499999999999, S=0.0006808676198813345}
(buy(1410)) --> (buy(375)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(414)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(441)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(484)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(674)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(900)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(944)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(967)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(1127)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(1327)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(1383)), {C=0.078125, S=0.00048633401420095323}
(buy(1410)) --> (buy(1493)), {C=0.078125, S=0.00048633401420095323}
