(buy(1531)) --> (buy(86)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(89)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(1531)) --> (buy(133)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(266)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(272)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(283)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(622)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(676)), {C=0.11320754716981131, S=0.0005836008170411438}
(buy(1531)) --> (buy(749)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(830)), {C=0.09433962264150944, S=0.00048633401420095323}
(buy(1531)) --> (buy(1348)), {C=0.1320754716981132, S=0.0006808676198813345}
(buy(1531)) --> (buy(1448)), {C=0.09433962264150944, S=0.00048633401420095323}
