(buy(1135)) --> (buy(9)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(20)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(76)), {C=0.1276595744680851, S=0.0005836008170411438}
(buy(1135)) --> (buy(120)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(130)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(486)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(629)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(914)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(958)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(1241)), {C=0.10638297872340427, S=0.00048633401420095323}
(buy(1135)) --> (buy(1445)), {C=0.10638297872340427, S=0.00048633401420095323}
