(buy(549)) --> (buy(7)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(83)), {C=0.11538461538461539, S=0.0008754012255617158}
(buy(549)) --> (buy(119)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(283)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(366)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(371)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(399)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(422)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(440)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(443)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(511)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(566)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(579)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(599)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(755)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(825)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(838)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(839)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(842)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(853)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(859)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(915)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(981)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(982)), {C=0.08974358974358974, S=0.0006808676198813345}
(buy(549)) --> (buy(992)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(993)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1046)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1086)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1115)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1165)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1192)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1198)), {C=0.08974358974358974, S=0.0006808676198813345}
(buy(549)) --> (buy(1231)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(1244)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1248)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1298)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1338)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1392)), {C=0.07692307692307693, S=0.0005836008170411438}
(buy(549)) --> (buy(1408)), {C=0.06410256410256411, S=0.00048633401420095323}
(buy(549)) --> (buy(1491)), {C=0.08974358974358974, S=0.0006808676198813345}
(buy(549)) --> (buy(1508)), {C=0.06410256410256411, S=0.00048633401420095323}
