(buy(1246)) --> (buy(50)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(61)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(121)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(146)), {C=0.10714285714285714, S=0.0005836008170411438}
(buy(1246)) --> (buy(156)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(371)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(404)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(427)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(443)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(586)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(609)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(613)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(679)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(830)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(1012)), {C=0.0892857142857143, S=0.00048633401420095323}
(buy(1246)) --> (buy(1119)), {C=0.10714285714285714, S=0.0005836008170411438}
(buy(1246)) --> (buy(1250)), {C=0.10714285714285714, S=0.0005836008170411438}
(buy(1246)) --> (buy(1322)), {C=0.10714285714285714, S=0.0005836008170411438}
