(buy(1423)) --> (buy(21)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(1423)) --> (buy(121)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(1423)) --> (buy(175)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(181)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(371)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(420)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(574)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(601)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(604)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(609)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(643)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(658)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(1423)) --> (buy(813)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1000)), {C=0.11594202898550726, S=0.0007781344227215252}
(buy(1423)) --> (buy(1007)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(1423)) --> (buy(1107)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1152)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1202)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1257)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1273)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1289)), {C=0.08695652173913043, S=0.0005836008170411438}
(buy(1423)) --> (buy(1473)), {C=0.10144927536231883, S=0.0006808676198813345}
(buy(1423)) --> (buy(1506)), {C=0.07246376811594203, S=0.00048633401420095323}
(buy(1423)) --> (buy(1523)), {C=0.10144927536231883, S=0.0006808676198813345}
