(buy(813)) --> (buy(11)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(181)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(208)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(303)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(813)) --> (buy(364)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(404)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(813)) --> (buy(443)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(597)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(813)) --> (buy(653)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(673)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(934)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1002)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1013)), {C=0.1044776119402985, S=0.0006808676198813345}
(buy(813)) --> (buy(1019)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1063)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1086)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(813)) --> (buy(1101)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1214)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1295)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1389)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1423)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1473)), {C=0.08955223880597014, S=0.0005836008170411438}
(buy(813)) --> (buy(1482)), {C=0.0746268656716418, S=0.00048633401420095323}
(buy(813)) --> (buy(1539)), {C=0.0746268656716418, S=0.00048633401420095323}
