(country(USA))(buy(1103)) --> (buy(145)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(227)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(431)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(454)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1103)) --> (buy(460)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1103)) --> (buy(687)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(887)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1103)) --> (buy(1097)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1103)) --> (buy(1203)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(1413)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(1446)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1103)) --> (buy(1546)), {C=0.001222992254382389, S=0.0008754012255617158}
