(country(USA))(buy(772)) --> (buy(46)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(144)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(329)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(362)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(410)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(751)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(822)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(995)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(1046)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(1122)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(1287)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(772)) --> (buy(1308)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(772)) --> (buy(1431)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(772)) --> (buy(1448)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(772)) --> (buy(1532)), {C=0.0006794401413235494, S=0.00048633401420095323}
