(country(USA))(buy(1316)) --> (buy(74)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1316)) --> (buy(95)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(174)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(274)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1316)) --> (buy(328)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(561)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1316)) --> (buy(800)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1316)) --> (buy(804)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(827)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(856)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(863)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(873)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(933)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(1010)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(1070)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1316)) --> (buy(1254)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1316)) --> (buy(1317)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1316)) --> (buy(1376)), {C=0.0006794401413235494, S=0.00048633401420095323}
