(country(USA))(buy(791)) --> (buy(43)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(52)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(248)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(252)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(791)) --> (buy(371)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(698)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(1207)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(1424)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(791)) --> (buy(1494)), {C=0.0006794401413235494, S=0.00048633401420095323}
