(country(USA))(buy(96)) --> (buy(50)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(379)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(429)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(485)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(545)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(592)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(596)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(630)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(756)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(796)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(856)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(862)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(925)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(931)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(938)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(1105)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(1124)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(1265)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(96)) --> (buy(1349)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(1357)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(1411)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(96)) --> (buy(1447)), {C=0.0006794401413235494, S=0.00048633401420095323}
