(country(USA))(buy(1248)) --> (buy(160)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(162)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(422)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(455)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(549)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(837)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(905)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(942)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(998)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(1089)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(1198)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1248)) --> (buy(1392)), {C=0.0008153281695882593, S=0.0005836008170411438}
