(country(USA))(buy(12)) --> (buy(76)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(492)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(12)) --> (buy(677)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(794)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(855)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(1037)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(1285)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(1320)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(12)) --> (buy(1387)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(12)) --> (buy(1520)), {C=0.0006794401413235494, S=0.00048633401420095323}
