(country(USA))(buy(855)) --> (buy(12)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(34)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(40)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(86)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(136)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(173)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(216)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(306)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(362)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(379)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(383)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(410)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(416)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(420)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(462)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(464)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(466)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(477)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(524)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(529)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(537)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(855)) --> (buy(596)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(653)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(788)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(819)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(832)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(838)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(852)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(866)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(896)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(940)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(1069)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1190)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1198)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1231)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1261)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1298)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(855)) --> (buy(1311)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1338)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(855)) --> (buy(1344)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1387)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1392)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1431)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1491)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(855)) --> (buy(1547)), {C=0.0006794401413235494, S=0.00048633401420095323}
