(country(USA))(buy(797)) --> (buy(162)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(797)) --> (buy(199)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(258)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(321)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(797)) --> (buy(344)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(460)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(481)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(493)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(631)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(797)) --> (buy(1136)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(1234)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(1479)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(1504)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(797)) --> (buy(1539)), {C=0.0006794401413235494, S=0.00048633401420095323}
