(country(USA))(buy(408)) --> (buy(91)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(223)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(297)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(404)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(408)) --> (buy(454)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(408)) --> (buy(524)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(574)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(652)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(660)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(408)) --> (buy(690)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(784)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(871)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(1212)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(1217)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(1223)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(408)) --> (buy(1266)), {C=0.0006794401413235494, S=0.00048633401420095323}
