(country(USA))(buy(1455)) --> (buy(76)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1455)) --> (buy(193)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(264)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(456)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(480)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(573)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(690)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(773)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(879)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(933)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(956)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(1018)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(1046)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1455)) --> (buy(1412)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1455)) --> (buy(1494)), {C=0.0006794401413235494, S=0.00048633401420095323}
