(country(USA))(buy(1249)) --> (buy(84)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1249)) --> (buy(100)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(139)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(278)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(297)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(479)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(500)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(567)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(660)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1249)) --> (buy(690)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(695)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(806)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(849)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1249)) --> (buy(895)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1249)) --> (buy(927)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1006)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1212)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(1249)) --> (buy(1232)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1250)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1287)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1339)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1353)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1366)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1369)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1415)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1432)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1493)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1249)) --> (buy(1499)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1249)) --> (buy(1509)), {C=0.0006794401413235494, S=0.00048633401420095323}
