(country(USA))(buy(971)) --> (buy(84)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(312)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(349)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(362)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(445)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(505)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(971)) --> (buy(638)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(971)) --> (buy(639)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(711)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(971)) --> (buy(738)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(968)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(1387)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(971)) --> (buy(1427)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(971)) --> (buy(1437)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(971)) --> (buy(1510)), {C=0.0008153281695882593, S=0.0005836008170411438}
