(country(USA))(buy(313)) --> (buy(42)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(197)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(296)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(382)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(396)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(313)) --> (buy(480)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(313)) --> (buy(482)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(313)) --> (buy(585)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(756)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(313)) --> (buy(768)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(313)) --> (buy(806)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(901)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(313)) --> (buy(1062)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(1134)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(1468)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(1501)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(313)) --> (buy(1528)), {C=0.0008153281695882593, S=0.0005836008170411438}
