(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(412)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(415)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(872)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1154)), {C=0.0006520605112154407, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(S)) --> (buy(1522)), {C=0.0006520605112154407, S=0.00048633401420095323}
