(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(119)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(614)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(640)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(706)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(752)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(814)), {C=0.000673778775968557, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(904)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1079)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1125)), {C=0.000673778775968557, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1161)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1291)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1440)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1467)), {C=0.0005614823133071309, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(M)) --> (buy(1545)), {C=0.0007860752386299831, S=0.0006808676198813345}
