(country(USA))(house_owner(Y))(buy(896)) --> (buy(197)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(344)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(603)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(855)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(946)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(1079)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(1100)), {C=0.0006597031335898845, S=0.0005836008170411438}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(1295)), {C=0.0005497526113249038, S=0.00048633401420095323}
(country(USA))(house_owner(Y))(buy(896)) --> (buy(1467)), {C=0.0005497526113249038, S=0.00048633401420095323}
