(country(USA))(buy(460)) --> (buy(27)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(62)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(137)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(460)) --> (buy(144)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(227)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(250)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(268)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(288)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(427)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(455)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(461)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(466)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(502)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(529)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(566)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(570)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(644)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(673)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(693)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(726)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(460)) --> (buy(797)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(799)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(884)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(926)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(943)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(947)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1017)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1036)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1047)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1085)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1103)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(1176)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1213)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(460)) --> (buy(1217)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1384)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1403)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1452)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1476)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1479)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1526)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1542)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(460)) --> (buy(1558)), {C=0.0008153281695882593, S=0.0005836008170411438}
