(country(USA))(buy(536)) --> (buy(36)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(536)) --> (buy(48)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(226)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(320)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(349)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(536)) --> (buy(503)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(536)) --> (buy(529)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(609)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(673)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(769)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(536)) --> (buy(923)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1008)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1091)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1164)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1222)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1401)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(536)) --> (buy(1495)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1518)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1521)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(536)) --> (buy(1538)), {C=0.0006794401413235494, S=0.00048633401420095323}
