(country(USA))(buy(1021)) --> (buy(66)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(307)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(448)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(472)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(480)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(509)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(611)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(794)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(1030)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1021)) --> (buy(1121)), {C=0.0008153281695882593, S=0.0005836008170411438}
