(country(USA))(buy(484)) --> (buy(41)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(484)) --> (buy(68)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(174)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(251)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(334)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(484)) --> (buy(371)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(384)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(478)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(484)) --> (buy(660)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(840)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(1006)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(1154)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(484)) --> (buy(1254)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(1365)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(1387)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(484)) --> (buy(1410)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(484)) --> (buy(1431)), {C=0.0006794401413235494, S=0.00048633401420095323}
