(country(USA))(buy(1352)) --> (buy(110)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(271)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(400)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(543)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(576)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(676)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1352)) --> (buy(836)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(909)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(915)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(965)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1352)) --> (buy(1177)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(1198)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(1462)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1352)) --> (buy(1518)), {C=0.0006794401413235494, S=0.00048633401420095323}
