(country(USA))(buy(1028)) --> (buy(110)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(279)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(312)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(335)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(445)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(529)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(632)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(1134)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1028)) --> (buy(1295)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1028)) --> (buy(1389)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(1438)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(1445)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1028)) --> (buy(1448)), {C=0.0006794401413235494, S=0.00048633401420095323}
