(country(USA))(buy(606)) --> (buy(30)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(36)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(196)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(606)) --> (buy(234)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(357)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(362)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(539)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(662)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(735)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(606)) --> (buy(889)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1032)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1078)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1222)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(606)) --> (buy(1282)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1305)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1332)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(606)) --> (buy(1339)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(606)) --> (buy(1398)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(606)) --> (buy(1449)), {C=0.0008153281695882593, S=0.0005836008170411438}
