(country(USA))(buy(629)) --> (buy(186)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(197)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(390)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(465)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(529)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(629)) --> (buy(542)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(595)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(629)) --> (buy(662)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(629)) --> (buy(679)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(729)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(751)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(765)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(833)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(629)) --> (buy(865)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(928)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(958)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1019)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1122)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(629)) --> (buy(1135)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1139)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(629)) --> (buy(1251)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1349)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1361)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1422)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1443)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1457)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1465)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1477)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(629)) --> (buy(1478)), {C=0.0006794401413235494, S=0.00048633401420095323}
