(country(USA))(buy(951)) --> (buy(62)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(951)) --> (buy(75)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(342)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(822)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(951)) --> (buy(868)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(991)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(951)) --> (buy(1001)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(951)) --> (buy(1138)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1223)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1305)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(951)) --> (buy(1396)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1407)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1428)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1467)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1473)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(951)) --> (buy(1554)), {C=0.0008153281695882593, S=0.0005836008170411438}
