(country(USA))(buy(455)) --> (buy(8)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(102)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(455)) --> (buy(126)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(227)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(345)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(362)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(405)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(411)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(455)) --> (buy(413)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(432)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(460)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(477)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(482)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(488)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(501)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(502)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(455)) --> (buy(505)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(513)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(572)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(577)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(455)) --> (buy(581)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(585)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(656)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(707)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(725)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(805)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(865)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(888)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(902)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(455)) --> (buy(905)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(455)) --> (buy(915)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(944)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(455)) --> (buy(948)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(952)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(455)) --> (buy(954)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(987)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1077)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1188)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1237)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1248)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1331)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1336)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(455)) --> (buy(1452)), {C=0.0006794401413235494, S=0.00048633401420095323}
