(country(USA))(buy(684)) --> (buy(131)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(684)) --> (buy(168)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(368)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(478)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(684)) --> (buy(823)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(894)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(1162)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(1260)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(1367)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(1473)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(684)) --> (buy(1500)), {C=0.0009512161978529692, S=0.0006808676198813345}
