(country(USA))(buy(496)) --> (buy(85)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(496)) --> (buy(163)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(496)) --> (buy(413)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(496)) --> (buy(504)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(496)) --> (buy(941)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(496)) --> (buy(1006)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(496)) --> (buy(1045)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(496)) --> (buy(1445)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(496)) --> (buy(1465)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(496)) --> (buy(1554)), {C=0.0008153281695882593, S=0.0005836008170411438}
