(country(USA))(buy(652)) --> (buy(76)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(137)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(652)) --> (buy(384)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(408)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(466)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(569)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(652)) --> (buy(572)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(652)) --> (buy(639)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(1351)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(1412)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(652)) --> (buy(1511)), {C=0.0006794401413235494, S=0.00048633401420095323}
