(country(USA))(buy(576)) --> (buy(37)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(576)) --> (buy(54)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(576)) --> (buy(161)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(174)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(400)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(432)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(465)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(497)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(609)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(576)) --> (buy(948)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(576)) --> (buy(1262)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(576)) --> (buy(1352)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(1425)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(1447)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(1499)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(576)) --> (buy(1518)), {C=0.0009512161978529692, S=0.0006808676198813345}
