(country(USA))(buy(389)) --> (buy(62)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(389)) --> (buy(106)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(400)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(476)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(389)) --> (buy(617)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(861)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(921)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(928)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(389)) --> (buy(1165)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(389)) --> (buy(1227)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(1338)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(1371)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(389)) --> (buy(1450)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(389)) --> (buy(1460)), {C=0.0006794401413235494, S=0.00048633401420095323}
