(country(USA))(buy(261)) --> (buy(17)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(78)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(228)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(378)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(404)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(261)) --> (buy(461)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(654)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(850)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(865)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(261)) --> (buy(883)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(933)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(1034)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(1070)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(1150)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(261)) --> (buy(1228)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(1266)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(261)) --> (buy(1288)), {C=0.0006794401413235494, S=0.00048633401420095323}
