(country(USA))(buy(967)) --> (buy(253)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(465)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(485)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(967)) --> (buy(518)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(551)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(967)) --> (buy(562)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(609)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(651)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(917)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(967)) --> (buy(943)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(975)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(984)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1117)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1350)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1383)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1410)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1420)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(967)) --> (buy(1467)), {C=0.0006794401413235494, S=0.00048633401420095323}
