(country(USA))(buy(1011)) --> (buy(568)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1011)) --> (buy(660)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1011)) --> (buy(745)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(861)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(981)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1001)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1017)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1111)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1341)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1387)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1454)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1011)) --> (buy(1536)), {C=0.0006794401413235494, S=0.00048633401420095323}
