(country(USA))(buy(915)) --> (buy(83)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(216)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(272)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(277)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(349)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(426)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(455)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(549)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(716)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(753)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(778)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(805)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(916)), {C=0.001222992254382389, S=0.0008754012255617158}
(country(USA))(buy(915)) --> (buy(965)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(969)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1192)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(915)) --> (buy(1291)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1298)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(1308)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(1352)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1387)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1418)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1431)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(915)) --> (buy(1475)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1491)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(915)) --> (buy(1524)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(915)) --> (buy(1525)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(915)) --> (buy(1538)), {C=0.0006794401413235494, S=0.00048633401420095323}
