(country(USA))(buy(1298)) --> (buy(73)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1298)) --> (buy(111)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(157)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(216)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1298)) --> (buy(277)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(296)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(456)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(549)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(582)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(594)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(628)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(682)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(782)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(819)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(855)), {C=0.0010871042261176792, S=0.0007781344227215252}
(country(USA))(buy(1298)) --> (buy(915)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1298)) --> (buy(921)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(1298)) --> (buy(1053)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(1431)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(1298)) --> (buy(1518)), {C=0.0006794401413235494, S=0.00048633401420095323}
