(buy(1519)) --> (buy(53)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(61)), {C=0.10526315789473682, S=0.0005836008170411438}
(buy(1519)) --> (buy(394)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(404)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(597)), {C=0.10526315789473682, S=0.0005836008170411438}
(buy(1519)) --> (buy(1076)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(1092)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(1152)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(1209)), {C=0.08771929824561403, S=0.00048633401420095323}
(buy(1519)) --> (buy(1362)), {C=0.08771929824561403, S=0.00048633401420095323}
