(buy(856)) --> (buy(86)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(96)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(180)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(500)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(517)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(603)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(685)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(856)) --> (buy(733)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(816)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(973)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(1013)), {C=0.09999999999999999, S=0.0005836008170411438}
(buy(856)) --> (buy(1023)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(1316)), {C=0.08333333333333334, S=0.00048633401420095323}
(buy(856)) --> (buy(1382)), {C=0.09999999999999999, S=0.0005836008170411438}
